Term,Classification weight,Estimation weight
PC363,7.05116697111089,-111.93507550311156
PC365,2.3563966261934848,-16.864620105244885
PC1,2.1680009468795527,-3583.7566186311274
PC366,1.8662013132170006,58.11309659133036
PC5,1.7682791154345665,95.73005770414255
PC371,1.5953420727537573,-0.6813690636639606
PC177,1.1178658181411032,-42.52390764849578
PC30,1.116600179421343,599.5268204310437
PC173,1.0119163606022197,3.690514004853039
PC213,0.8247628237325404,-89.87204591958815
PC97,0.768876889446755,-54.20720508165072
PC165,0.7587880879572126,5.22308308075132
PC287,0.7568806039862005,167.27181730355534
PC222,0.7530436919892328,44.84064519196181
PC93,0.7250581562999823,7.636203189129877
PC155,0.7052968741732831,68.23695096183988
PC106,0.6959057321347704,31.106187395331457
PC131,0.6954862707097571,-29.352384023771464
PC20,0.6899340999261924,197.3088998501135
PC77,0.6805869110742915,8.139613210868289
PC319,0.6755009811733462,-331.39229626717054
PC56,0.6750355168154358,-68.47611547813723
PC354,0.6656329799162564,-19.803375136775056
PC251,0.6654311648062763,62.02059418065545
PC32,0.6559103594685111,133.30369094377414
PC254,0.6440689161545475,-38.01110143655035
PC160,0.6275547856799172,-80.06496232706674
PC301,0.6162661690830025,9.528815476480242
PC91,0.6061382322548953,-145.48871011146474
PC201,0.5980619445564763,120.44361822591806
PC300,0.5721588118320917,62.281492645214556
PC188,0.5603254391706329,28.0786784740125
PC35,0.55878219946690455,28.55051206786748
PC276,0.5489941021317382,6.987289857272353
PC247,0.5342403025139599,44.8602733688635
PC337,0.5068223334843637,-286.9329654131536
PC52,0.5051809568369092,-62.2521510024513
PC286,0.49560101792592937,-206.77683668241303
PC352,0.488226956437334,-126.08578929440618
PC168,0.4828027416006076,-31.42528028373971
PC157,0.47158116653970095,70.56857429117984
PC296,0.4690652116876355,-178.4449016623486
PC15,0.4683552494035009,783.0216277701065
PC43,0.441214594017053,69.86122454531638
PC312,0.4362720270167312,68.17421989458832
PC111,0.4353063800933088,81.92837700307625
PC22,0.42931809022876577,-90.74868467803365
PC144,0.4255496958414245,-56.27526459467156
PC348,0.4234108499795861,-26.647753065718675
PC7,0.42081355846186996,-116.13076908177756
PC226,0.41979941432112966,-81.13449983751424
PC197,0.41669046787015135,-119.41830115039164
PC2,0.4152512567422429,-38.208358366064026
PC347,0.40365800633246857,29.368840770949042
PC4,0.3934090810491123,264.2841480366912
PC27,0.3892509740420549,-300.321844772825
PC189,0.38563902184732024,-48.6221823200325
PC41,0.3828485173347421,-16.329438855617777
PC336,0.38009337281266536,-151.98205735908948
PC230,0.37908153928338856,83.34560679131273
PC369,0.36833326942125133,1.2668157835915526
PC292,0.3632619090744765,-148.9973832024733
PC105,0.34853369123008576,39.20245502536341
PC290,0.346221543248973,-247.31721828298177
PC79,0.3427276147270135,-91.38690652527876
PC232,0.3370569681724579,48.11395053817727
PC252,0.3351859476822629,-64.06937330454129
PC236,0.33051812096607525,0.30105367280939727
PC58,0.31666094275601286,19.59916495521457
PC261,0.31653371137455827,-45.38191654005255
PC298,0.31592412369415585,224.6692456312355
PC314,0.3050928563621814,-48.0080060590511
PC178,0.30198267313606514,18.727876396783987
PC129,0.29486400500928817,22.829590926262217
PC308,0.2921298162444447,-23.108989517325867
PC233,0.27985513754924474,111.61455726967561
PC325,0.2694352639329721,12.020526134573478
PC167,0.2659809652064439,-31.384888573785837
PC64,0.26317996217941475,58.25503351181346
PC148,0.26232995511807905,29.02919587450901
PC191,0.2619103080738152,-3.47194262623181
PC326,0.2586849706415963,168.8695389835498
PC239,0.2531218343090093,118.24593785980645
PC108,0.25098770330448494,-38.533203882227895
PC322,0.2386443009710685,-14.544833119017136
PC205,0.2383312525521285,-52.01907001097092
PC147,0.235696654988189,-14.343720555894146
PC242,0.23326613566283497,17.12881801493398
PC48,0.23202409442330627,-152.82079213560624
PC229,0.2301432996784144,-196.0494752265704
PC273,0.2230534519147546,-54.80862146731115
PC343,0.22240642456716717,-17.74823864914074
PC223,0.2181851798455369,267.54163777427743
PC265,0.21614976513981737,184.2416536990055
PC164,0.21563039074283655,111.61229066636804
PC19,0.21536857304337265,-152.15523722789197
PC214,0.20874938456779507,59.93435175878876
PC128,0.20868140392170148,-27.931812701363615
PC28,0.20827039919679088,245.7766541248521
PC207,0.20531327678729527,-54.5042352504616
PC349,0.20418116958041257,-1.067095140917443
PC211,0.2015678449035063,-158.19365310070395
PC330,0.1961819344802071,-118.13240053800797
PC90,0.1945953153524162,-17.263631904440476
PC101,0.19408169967430636,29.152369070104722
PC359,0.19059069465447334,-16.425379237517678
PC59,0.18864894334252327,32.48671460743954
PC266,0.18732441219375864,7.5168174758522754
PC33,0.18366176639628326,-15.682277260930965
PC180,0.1668469509752598,-171.39838228846932
PC13,0.16658910721745662,50.65431062046389
PC283,0.1637479141913209,125.65255760276838
PC342,0.16173489126600007,63.50920781441192
PC212,0.15915914182361957,-159.46908316123788
PC175,0.1559442109573791,-74.20268490805421
PC196,0.15519052196241215,-64.91686521621048
PC267,0.1550794957943346,55.44069450357316
PC284,0.15346985781386088,54.92078059035944
PC142,0.15104965412181884,-17.596221293904442
PC350,0.1500451702335267,-90.53957445778101
PC75,0.14994402707934343,44.836190934529526
PC25,0.14910250726507962,-69.40601478391709
PC345,0.148849737066972,6.354654704298086
PC154,0.1469994837279005,26.37106441789207
PC327,0.1460214041282953,-73.09946558077708
PC87,0.14534415202530523,-85.3370129188814
PC150,0.142990553925561,-120.02962034892813
PC74,0.13486692442464454,81.10926445995038
PC321,0.13340494585808405,-110.97562325802156
PC329,0.133161704908652,52.415209000587204
PC208,0.13287821347834924,-16.216213483146426
PC253,0.13243612213678702,-32.91479418571947
PC96,0.12482268294191291,-26.008786586882806
PC40,0.12370879377895434,1.3711493184284351
PC38,0.11784812634883257,-21.579922419651073
PC341,0.11763089407547431,-81.24609985769109
PC37,0.11697860569017421,5.099745139456196
PC346,0.11204639896623338,9.367220120629165
PC184,0.1118174712147925,2.2508904564846715
PC297,0.1096319209981293,-28.97878337186745
PC360,0.10708409549188862,-44.07798880147169
PC309,0.10642805705450342,99.78178386764665
PC120,0.10615238900684881,22.901568408267913
PC357,0.10351908050058659,33.75082537500498
PC227,0.10068007178868739,-263.65735829332687
PC112,0.09896555957530614,25.07395835533808
PC88,0.09623817094865507,16.28209061453586
PC244,0.09560298919546834,-161.71444656336558
PC362,0.07945807195099092,6.727466823854294
PC353,0.07649286682900741,3.5861602848998975
