Model,Set,Criteria fulfilled (%),Predicted time of deliver (week),Prediction of PROM by DI-VNN,True time of delivery (average week)
PC-RF,External geotemporal split,14.285714285714285,15,event,0
PC-RF,External geotemporal split,14.285714285714285,15,nonevent,9
PC-RF,External geotemporal split,14.285714285714285,16,event,0
PC-RF,External geotemporal split,14.285714285714285,16,nonevent,11
PC-RF,External geotemporal split,14.285714285714285,17,nonevent,9
PC-RF,External geotemporal split,14.285714285714285,18,event,3
PC-RF,External geotemporal split,14.285714285714285,18,nonevent,7
PC-RF,External geotemporal split,14.285714285714285,19,nonevent,20
PC-RF,External geotemporal split,14.285714285714285,20,event,0
PC-RF,External geotemporal split,14.285714285714285,20,nonevent,21
PC-RF,External geotemporal split,14.285714285714285,21,event,0
PC-RF,External geotemporal split,14.285714285714285,21,nonevent,21
PC-RF,External geotemporal split,14.285714285714285,22,event,0
PC-RF,External geotemporal split,14.285714285714285,22,nonevent,14
PC-RF,External geotemporal split,14.285714285714285,23,event,3
PC-RF,External geotemporal split,14.285714285714285,23,nonevent,21
PC-RF,External geotemporal split,14.285714285714285,24,event,2
PC-RF,External geotemporal split,14.285714285714285,24,nonevent,11
PC-RF,External geotemporal split,14.285714285714285,25,nonevent,8
PC-RF,External geotemporal split,14.285714285714285,26,nonevent,28
PC-RF,External geotemporal split,14.285714285714285,27,nonevent,80
PC-RF,External geotemporal split,14.285714285714285,28,nonevent,17
PC-RF,External geotemporal split,14.285714285714285,29,nonevent,0
PC-RF,External geotemporal split,14.285714285714285,30,event,0
PC-RF,External geotemporal split,14.285714285714285,30,nonevent,50
PC-RF,External geotemporal split,14.285714285714285,31,nonevent,65
PC-GBM,Internal calibration split,11.904761904761903,0,event,0
PC-GBM,Internal calibration split,11.904761904761903,0,nonevent,0
PC-GBM,Internal calibration split,11.904761904761903,1,event,0
PC-GBM,Internal calibration split,11.904761904761903,1,nonevent,0
PC-GBM,Internal calibration split,11.904761904761903,2,event,0
PC-GBM,Internal calibration split,11.904761904761903,2,nonevent,1
PC-GBM,Internal calibration split,11.904761904761903,3,event,1
PC-GBM,Internal calibration split,11.904761904761903,3,nonevent,1
PC-GBM,Internal calibration split,11.904761904761903,4,event,2
PC-GBM,Internal calibration split,11.904761904761903,4,nonevent,2
PC-GBM,Internal calibration split,11.904761904761903,5,event,1
PC-GBM,Internal calibration split,11.904761904761903,5,nonevent,3
PC-GBM,Internal calibration split,11.904761904761903,6,event,2
PC-GBM,Internal calibration split,11.904761904761903,6,nonevent,4
PC-GBM,Internal calibration split,11.904761904761903,7,event,5
PC-GBM,Internal calibration split,11.904761904761903,7,nonevent,5
PC-GBM,Internal calibration split,11.904761904761903,8,event,2
PC-GBM,Internal calibration split,11.904761904761903,8,nonevent,7
PC-GBM,Internal calibration split,11.904761904761903,9,event,6
