Information,Description
Ontology array z02,x4.y6 -0.077 (N760)
Ontology array z02,x4.y7 -0.091 (R53)
Ontology array z02,x3.y1 -0.07 (B373)
Ontology array z02,x3.y2 -0.195 (Z038)
Ontology array z02,x3.y3 -0.024 (9394)
Ontology array z02,x3.y4 0.047 
Ontology array z02,x3.y5 -0.083 (N390)
Ontology array z02,x3.y6 0.025 
Ontology array z02,x3.y7 -0.007 (9396)
Ontology array z02,x2.y1 0.009 (O441)
Ontology array z02,x2.y2 -0.099 (O149)
Ontology array z02,x2.y3 -0.169 (D259)
Ontology array z02,x2.y4 -0.186 (Z090)
Ontology array z02,x2.y5 -0.291 (G439)
Ontology array z02,x2.y6 -0.156 (9921)
Ontology array z02,x2.y7 -0.024 
Ontology array z02,x1.y1 -0.044 
Ontology array z02,x1.y2 -0.004 
Ontology array z02,x1.y3 -0.061 
Ontology array z02,x1.y4 -0.067 (897)
Ontology array z02,x1.y5 -0.294 (7534)
Ontology array z02,x1.y6 -0.177 (9929)
Ontology array z02,x1.y7 -0.055 
Ontology array z03,x7.y1 0.061 
Ontology array z03,x7.y2 -0.033 (9059)
Ontology array z03,x7.y3 0.019 (8878- Yellow Square)
Ontology array z03,x7.y4 0.011 (5794)
Ontology array z03,x7.y5 0.081 
Ontology array z03,x7.y6 0.013 
Ontology array z03,x7.y7 0.19 
Ontology array z03,x6.y1 0.092 
Ontology array z03,x6.y2 0.035 (J40)
Ontology array z03,x6.y3 -0.182 (Z355)
Ontology array z03,x6.y4 -0.101 
Ontology array z03,x6.y5 -0.028 (H521)
Ontology array z03,x6.y6 -0.003 (causal_A11)
Ontology array z03,x6.y7 0.068 
Ontology array z03,x5.y1 0.138 
Ontology array z03,x5.y2 -0.197 
Ontology array z03,x5.y3 -0.384 (9783)
Ontology array z03,x5.y4 -0.037 (R202)
Ontology array z03,x5.y5 0.079 
Ontology array z03,x5.y6 -0.144 (H663)
Ontology array z03,x5.y7 -0.036 (K290)
Ontology array z03,x4.y1 0.076 
Ontology array z03,x4.y2 -0.06 (Z719)
Ontology array z03,x4.y3 -0.007 
Ontology array z03,x4.y4 0.053 (Z508)
Ontology array z03,x4.y5 -0.128 
Ontology array z03,x4.y6 -0.146 (E780)
Ontology array z03,x4.y7 -0.031 
Ontology array z03,x3.y1 0.001 (O342)
Ontology array z03,x3.y2 -0.15 
Ontology array z03,x3.y3 -0.454 
Ontology array z03,x3.y4 -0.081 
Ontology array z03,x3.y5 0.08 (I959)
Ontology array z03,x3.y6 -0.082 
Ontology array z03,x3.y7 0.089 (7171)
Ontology array z03,x2.y1 0.141 
Ontology array z03,x2.y2 0.169 (734)
Ontology array z03,x2.y3 -0.081 (J459)
Ontology array z03,x2.y4 -0.226 
Ontology array z03,x2.y5 -0.031 (K297)
Ontology array z03,x2.y6 0.027 (8749)
Ontology array z03,x2.y7 0.084 
Ontology array z03,x1.y1 0.056 
Ontology array z03,x1.y2 -0.001 
Ontology array z03,x1.y3 0.025 
Ontology array z03,x1.y4 -0.028 
Ontology array z03,x1.y5 -0.174 (Z360)
Ontology array z03,x1.y6 -0.034 
Ontology array z03,x1.y7 0.055 
Ontology array z04,x7.y1 0.102 
Ontology array z04,x7.y2 0.06 
Ontology array z04,x7.y3 0.131 
Ontology array z04,x7.y4 -0.017 (Z099)
Ontology array z04,x7.y5 -0.014 
Ontology array z04,x7.y6 -0.058 
Ontology array z04,x7.y7 0.01 
Ontology array z04,x6.y1 0.097 
Ontology array z04,x6.y2 0.075 (O991)
Ontology array z04,x6.y3 -0.244 (J398)
Ontology array z04,x6.y4 -0.013 
Ontology array z04,x6.y5 -0.311 
Ontology array z04,x6.y6 -0.139 (O235)
Ontology array z04,x6.y7 0.013 
Ontology array z04,x5.y1 0.096 
Ontology array z04,x5.y2 0.203 
Ontology array z04,x5.y3 -0.073 (O860)
Ontology array z04,x5.y4 -0.046 
Ontology array z04,x5.y5 -0.285 
Ontology array z04,x5.y6 -0.314 (O120)
Ontology array z04,x5.y7 -0.139 (O141)
Ontology array z04,x4.y1 0.108 
Ontology array z04,x4.y2 -0.096 (I500)
Ontology array z04,x4.y3 -0.129 
Ontology array z04,x4.y4 -0.007 (9389)
Ontology array z04,x4.y5 -0.024 
Ontology array z04,x4.y6 0.192 
Ontology array z04,x4.y7 0.018 
Ontology array z04,x3.y1 0.03 (O150)
Ontology array z04,x3.y2 0.047 
Ontology array z04,x3.y3 0.02 
Ontology array z04,x3.y4 -0.24 
